timestamp,raw_response
2025-08-19 13:25:18,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""support"": 1647.3,
  ""resistance"": 1735.0,
  ""volume_threshold"": 1500416,
  ""bollinger"": {
    ""mid_price"": 1715.22,
    ""upper_band"": 1716.90,
    ""lower_band"": 1713.88
  },
  ""macd"": {
    ""signal_line"": 0.7529,
    ""histogram"": -0.0614,
    ""ma_fast"": 1715.22,
    ""ma_slow"": 1715.39,
    ""ma_signal"": 1715.22
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation with tight Bollinger Bands, indicating low volatility."",
    ""MACD remains near zero, suggesting a lack of clear momentum."",
    ""No significant trend or breakout observed in recent data."",
    ""Support and resistance levels remain unchanged based on historical and recent data."",
    ""Volume remains stable without unusual spikes.""
  ],
  ""last_updated"": ""2025-08-19 13:24:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:29:25,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""support"": 1647.3,
  ""resistance"": 1735.0,
  ""volume_threshold"": 1500416,
  ""bollinger"": {
    ""mid_price"": 1715.22,
    ""upper_band"": 1716.9,
    ""lower_band"": 1713.88
  },
  ""macd"": {
    ""signal_line"": 0.7529,
    ""histogram"": -0.0614,
    ""ma_fast"": 1715.22,
    ""ma_slow"": 1715.39,
    ""ma_signal"": 1715.22
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation with tight Bollinger Bands, indicating low volatility."",
    ""MACD remains near zero, suggesting a lack of clear momentum."",
    ""No significant trend or breakout observed in recent data."",
    ""Support and resistance levels remain unchanged based on historical and recent data."",
    ""Volume remains stable without unusual spikes.""
  ],
  ""last_updated"": ""2025-08-19 13:24:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:35:24,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""support"": 1647.3,
  ""resistance"": 1735.0,
  ""volume_threshold"": 1500416,
  ""bollinger"": {
    ""mid_price"": 1715.22,
    ""upper_band"": 1716.9,
    ""lower_band"": 1713.88
  },
  ""macd"": {
    ""signal_line"": 0.7529,
    ""histogram"": -0.0614,
    ""ma_fast"": 1715.22,
    ""ma_slow"": 1715.39,
    ""ma_signal"": 1715.22
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation with tight Bollinger Bands, indicating low volatility."",
    ""MACD remains near zero, suggesting a lack of clear momentum."",
    ""No significant trend or breakout observed in recent data."",
    ""Support and resistance levels remain unchanged based on historical and recent data."",
    ""Volume remains stable without unusual spikes.""
  ],
  ""last_updated"": ""2025-08-19 13:34:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:39:38,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""support"": 1647.3,
  ""resistance"": 1735.0,
  ""volume_threshold"": 1500416,
  ""bollinger"": {
    ""mid_price"": 1715.22,
    ""upper_band"": 1716.9,
    ""lower_band"": 1713.88
  },
  ""macd"": {
    ""signal_line"": 0.7529,
    ""histogram"": -0.0614,
    ""ma_fast"": 1715.22,
    ""ma_slow"": 1715.39,
    ""ma_signal"": 1715.22
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation with tight Bollinger Bands, indicating low volatility."",
    ""MACD remains near zero, suggesting a lack of clear momentum."",
    ""No significant trend or breakout observed in recent data."",
    ""Support and resistance levels remain unchanged based on historical and recent data."",
    ""Volume remains stable without unusual spikes.""
  ],
  ""last_updated"": ""2025-08-19 13:38:00"",
  ""signal"": ""Hold""
}"
2025-08-19 13:54:30,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""support"": 1647.3,
  ""resistance"": 1735.0,
  ""volume_threshold"": 1500416,
  ""bollinger"": {
    ""mid_price"": 1715.22,
    ""upper_band"": 1716.9,
    ""lower_band"": 1713.88
  },
  ""macd"": {
    ""signal_line"": 0.7529,
    ""histogram"": -0.0614,
    ""ma_fast"": 1715.22,
    ""ma_slow"": 1715.39,
    ""ma_signal"": 1715.22
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation with tight Bollinger Bands, indicating low volatility."",
    ""MACD remains near zero, suggesting a lack of clear momentum."",
    ""No significant trend or breakout observed in recent data."",
    ""Support and resistance levels remain unchanged based on historical and recent data."",
    ""Volume remains stable without unusual spikes.""
  ],
  ""last_updated"": ""2025-08-19 13:38:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:16:22,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""support"": 1647.3,
  ""resistance"": 1735.0,
  ""volume_threshold"": 1500416,
  ""bollinger"": {
    ""mid_price"": 1690.0,
    ""upper_band"": 1735.0,
    ""lower_band"": 1655.0
  },
  ""macd"": {
    ""signal_line"": 0.7117137550318986,
    ""histogram"": 0.6620015133324231,
    ""ma_fast"": 1707.975,
    ""ma_slow"": 1707.975,
    ""ma_signal"": 1707.975
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation near support level of 1647.3 with no clear breakout."",
    ""No significant trend change or breakout observed in recent data."",
    ""Volume remains stable without spike, supporting unchanged volume threshold."",
    ""Bollinger Bands indicate slight volatility but no breakout beyond bands."",
    ""MACD remains near neutral, suggesting no strong bullish or bearish momentum.""
  ],
  ""last_updated"": ""2025-08-19 15:15:00"",
  ""signal"": ""Hold""
}"
2025-08-19 15:20:47,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""support"": 1647.3,
  ""resistance"": 1735.0,
  ""volume_threshold"": 1500416,
  ""bollinger"": {
    ""mid_price"": 1690.0,
    ""upper_band"": 1735.0,
    ""lower_band"": 1655.0
  },
  ""macd"": {
    ""signal_line"": 0.7117137550318986,
    ""histogram"": 0.6620015133324231,
    ""ma_fast"": 1707.975,
    ""ma_slow"": 1707.975,
    ""ma_signal"": 1707.975
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show consolidation near support level of 1647.3 with no clear breakout."",
    ""No significant trend change or breakout observed in recent data."",
    ""Volume remains stable without spike, supporting unchanged volume threshold."",
    ""Bollinger Bands indicate slight volatility but no breakout beyond bands."",
    ""MACD remains near neutral, suggesting no strong bullish or bearish momentum.""
  ],
  ""last_updated"": ""2025-08-19 15:15:00"",
  ""signal"": ""Hold""
}"
2025-08-22 12:11:29,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""support"": 1690.77,
  ""resistance"": 1759.78,
  ""volume_threshold"": 3770,
  ""bollinger"": {
    ""mid_price"": 1725.28,
    ""upper_band"": 1759.78,
    ""lower_band"": 1690.77
  },
  ""macd"": {
    ""signal_line"": 0.7117137550318986,
    ""histogram"": 0.6620015133324231,
    ""ma_fast"": 1707.975,
    ""ma_slow"": 1707.975,
    ""ma_signal"": 1707.975
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent candles show a strong upward move with price crossing above support levels and resistance levels tightening, indicating potential breakout."",
    ""Volume has increased significantly in recent candles, supporting a bullish breakout scenario."",
    ""MACD histogram is positive and increasing, indicating bullish momentum."",
    ""ADX remains above 20, confirming trend strength."",
    ""Recent price action suggests a bullish breakout above resistance.""
  ],
  ""last_updated"": ""2025-08-21 11:34:00"",
  ""signal"": ""Buy""
}"
2025-09-01 14:45:58,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""ohlcv"": {
    ""time"": ""2025-09-01 14:42:00+00:00"",
    ""open"": 1668.8,
    ""high"": 1670.0,
    ""low"": 1666.2,
    ""close"": 1670.0,
    ""volume"": 11268
  },
  ""support"": 1695.26,
  ""resistance"": 1763.4,
  ""volume_threshold"": 1080,
  ""bollinger"": {
    ""mid_price"": 1729.33,
    ""upper_band"": 1763.4,
    ""lower_band"": 1695.26
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent price action shows slight upward momentum with close near resistance."",
    ""ADX remains below threshold, indicating no strong trend."",
    ""Price is within Bollinger bands, suggesting no breakout signal."",
    ""Moving averages are flat with no clear crossover."",
    ""Recent volume is below threshold, indicating lack of strong buying interest.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.002,
      ""price"": 1673.34
    },
    ""1w"": {
      ""ret"": 0.008,
      ""price"": 1684.56
    },
    ""3m"": {
      ""ret"": 0.025,
      ""price"": 1714.25
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": ""2025-09-02"",
      ""price"": 1673.34,
      ""ret"": 0.002
    },
    ""1w"": {
      ""time"": ""2025-09-08"",
      ""price"": 1684.56,
      ""ret"": 0.008
    },
    ""3m"": {
      ""time"": ""2025-11-01"",
      ""price"": 1714.25,
      ""ret"": 0.025
    }
  }
}"
2025-09-01 14:54:00,"{
  ""stock_code"": ""COCHINSHIP"",
  ""instrument_token"": 5506049,
  ""ohlcv"": {
    ""time"": ""2025-09-01 14:44:00+00:00"",
    ""open"": 1668.0,
    ""high"": 1670.0,
    ""low"": 1668.0,
    ""close"": 1668.8,
    ""volume"": 2171
  },
  ""support"": 1695.26,
  ""resistance"": 1763.4,
  ""volume_threshold"": 1080,
  ""bollinger"": {
    ""mid_price"": 1729.33,
    ""upper_band"": 1763.4,
    ""lower_band"": 1695.26
  },
  ""adx"": {
    ""period"": 14,
    ""threshold"": 20
  },
  ""moving_averages"": {
    ""ma_fast"": 9,
    ""ma_slow"": 20
  },
  ""inside_bar"": {
    ""lookback"": 1
  },
  ""candle"": {
    ""min_body_percent"": 0.7
  },
  ""reason"": [
    ""Recent price action shows slight upward momentum with close near resistance."",
    ""ADX remains below threshold, indicating no strong trend."",
    ""Price is within Bollinger bands, suggesting no breakout signal."",
    ""Moving averages are flat with no clear crossover."",
    ""Recent volume is below threshold, indicating lack of strong buying interest.""
  ],
  ""signal"": ""No Action"",
  ""predicted_targets"": {
    ""1d"": {
      ""ret"": 0.002,
      ""price"": 1673.34,
      ""method"": ""llm_v1""
    },
    ""1w"": {
      ""ret"": 0.008,
      ""price"": 1684.56,
      ""method"": ""llm_v1""
    },
    ""3m"": {
      ""ret"": 0.025,
      ""price"": 1714.25,
      ""method"": ""llm_v1""
    }
  },
  ""targets"": {
    ""1d"": {
      ""time"": ""2025-09-02"",
      ""price"": 1673.34,
      ""ret"": 0.002
    },
    ""1w"": {
      ""time"": ""2025-09-08"",
      ""price"": 1684.56,
      ""ret"": 0.008
    },
    ""3m"": {
      ""time"": ""2025-11-01"",
      ""price"": 1714.25,
      ""ret"": 0.025
    }
  }
}"
